StateCode,StateName,CityName
0,مرکزی,اراک
0,مرکزی,دلیجان
0,مرکزی,آشتیان
0,مرکزی,تفرش
0,مرکزی,خمین
0,مرکزی,محلات
0,مرکزی,شازند
0,مرکزی,ساوه
0,مرکزی,زرندیه
0,مرکزی,کمیجان
0,مرکزی,خنداب
0,مرکزی,فراهان
1,گیلان,شفت
1,گیلان,املش
1,گیلان,رضوانشهر
1,گیلان,سیاهكل
2,مازندران,نور
2,مازندران,نوشهر
2,مازندران,بابلسر
2,مازندران,محمودآباد
2,مازندران,نكا
2,مازندران,گلوگاه
2,مازندران,چالوس
3,آذربایجان شرقی,چاراویماق
3,آذربایجان شرقی,آذرشهر
3,آذربایجان شرقی,اسکو
3,آذربایجان شرقی,ورزقان
3,آذربایجان شرقی,عجب شیر
3,آذربایجان شرقی,خداآفرین
4,آذربایجان غربی,مهاباد
4,آذربایجان غربی,میاندوآب
4,آذربایجان غربی,نقده
4,آذربایجان غربی,بوكان
5,کرمانشاه,سرپل ذهاب
5,کرمانشاه,سنقر
5,کرمانشاه,کنگاور
5,کرمانشاه,قصرشیرین
6,خوزستان,بندرماهشهر
6,خوزستان,بهبهان
6,خوزستان,خرمشهر
6,خوزستان,گتوند
6,خوزستان,اندیکا
7,فارس,داراب
7,فارس,سپیدان
7,فارس,شیراز
7,فارس,فسا
7,فارس,بوانات
7,فارس,ارسنجان
7,فارس,خرم بید
8,كرمان,جیرفت
8,كرمان,بافت
8,كرمان,بم
8,كرمان,سیرجان
8,كرمان,بردسیر
8,كرمان,راور
8,كرمان,عنبرآباد
8,كرمان,ریگان
8,كرمان,رابر
8,كرمان,فهرج
8,كرمان,انار
8,كرمان,نرماشیر
8,كرمان,فاریاب
8,كرمان,ارزوییه
8,كرمان,جازموریان
9,خراسان رضوی,تایباد
9,خراسان رضوی,تربت حیدریه
9,خراسان رضوی,تربت جام
9,خراسان رضوی,درگز
9,خراسان رضوی,سبزوار
9,خراسان رضوی,قوچان
9,خراسان رضوی,کاشمر
9,خراسان رضوی,گناباد
9,خراسان رضوی,مشهد
9,خراسان رضوی,نیشابور
9,خراسان رضوی,چناران
9,خراسان رضوی,بردسکن
9,خراسان رضوی,خواف
9,خراسان رضوی,سرخس
9,خراسان رضوی,فریمان
9,خراسان رضوی,رشتخوار
9,خراسان رضوی,کلات
9,خراسان رضوی,خلیل آباد
9,خراسان رضوی,مه ولات
9,خراسان رضوی,بجستان
9,خراسان رضوی,طرقبه شاندیز
9,خراسان رضوی,فیروزه
9,خراسان رضوی,جغتای
9,خراسان رضوی,زاوه
9,خراسان رضوی,جوین
9,خراسان رضوی,باخرز
9,خراسان رضوی,خوشاب
9,خراسان رضوی,داورزن
9,خراسان رضوی,صالح آباد
9,خراسان رضوی,کوهسرخ
9,خراسان رضوی,زبرخان
9,خراسان رضوی,ششتمد
9,خراسان رضوی,گلبهار
9,خراسان رضوی,میان جلگه
10,اصفهان,مبارکه
10,اصفهان,آران و بیدگل
10,اصفهان,تیران وکرون
10,اصفهان,چادگان
11,سیستان و بلوچستان,خاش
11,سیستان و بلوچستان,زابل
11,سیستان و بلوچستان,زاهدان
11,سیستان و بلوچستان,راسک
11,سیستان و بلوچستان,کنارک
11,سیستان و بلوچستان,میرجاوه
11,سیستان و بلوچستان,قصرقند
11,سیستان و بلوچستان,فنوج
12,كردستان,سقز
12,كردستان,سنندج
12,كردستان,قروه
12,كردستان,مریوان
14,چهارمحال و بختیاری,شهرکرد
14,چهارمحال و بختیاری,فارسان
14,چهارمحال و بختیاری,لردگان
14,چهارمحال و بختیاری,اردل
14,چهارمحال و بختیاری,کیار
14,چهارمحال و بختیاری,سامان
14,چهارمحال و بختیاری,بن
14,چهارمحال و بختیاری,خانمیرزا
14,چهارمحال و بختیاری,فلارد
14,چهارمحال و بختیاری,فرخ شهر
15,لرستان,الیگودرز
15,لرستان,بروجرد
15,لرستان,خرم آباد
15,لرستان,دلفان
15,لرستان,دورود
15,لرستان,ازنا
15,لرستان,کوهدشت
15,لرستان,پلدختر
15,لرستان,سلسله
15,لرستان,چگنی
15,لرستان,رومشکان
15,لرستان,معمولان
16,ایلام,ایلام
16,ایلام,دره شهر
16,ایلام,دهلران
16,ایلام,چرداول
16,ایلام,مهران
16,ایلام,آبدانان
16,ایلام,ایوان
16,ایلام,ملكشاهی
16,ایلام,سیروان
16,ایلام,بدره
16,ایلام,هلیلان
16,ایلام,چوار
17,كهگیلویه و بویراحمد,چرام
17,كهگیلویه و بویراحمد,باشت
17,كهگیلویه و بویراحمد,لنده
17,كهگیلویه و بویراحمد,مارگون
20,سمنان,سمنان
20,سمنان,شاهرود
21,یزد,تفت
21,یزد,مهریز
22,هرمزگان,میناب
22,هرمزگان,جاسك
22,هرمزگان,رودان
24,اردبیل,مشگین شهر
24,اردبیل,گرمی
24,اردبیل,پارس آباد
24,اردبیل,كوثر
27,گلستان,مراوه تپه
27,گلستان,گمیشان
27,گلستان,گالیكش
27,گلستان,بندرگز
27,گلستان,تركمن
27,گلستان,علی آباد کتول
27,گلستان,گرگان
27,گلستان,كردكوی
27,گلستان,گنبدكاووس
27,گلستان,آق قلا
27,گلستان,كلاله
27,گلستان,مینودشت
27,گلستان,آزادشهر
27,گلستان,رامیان
28,خراسان شمالی,اسفراین
28,خراسان شمالی,بجنورد
28,خراسان شمالی,جاجرم
28,خراسان شمالی,شیروان
28,خراسان شمالی,فاروج
28,خراسان شمالی,سملقان
28,خراسان شمالی,گرمه
28,خراسان شمالی,راز و جرگلان
28,خراسان شمالی,بام و صفی آباد
28,خراسان شمالی,مانه
29,خراسان جنوبی,نهبندان
29,خراسان جنوبی,فردوس
29,خراسان جنوبی,سرایان
1,گیلان,ماسال
1,گیلان,خمام
1,گیلان,آستارا
1,گیلان,آستانه اشرفیه
1,گیلان,بندرانزلی
1,گیلان,طوالش
1,گیلان,رشت
1,گیلان,فومن
1,گیلان,لنگرود
1,گیلان,رودبار
1,گیلان,رودسر
1,گیلان,صومعه سرا
1,گیلان,لاهیجان
2,مازندران,آمل
2,مازندران,بابل
2,مازندران,بهشهر
2,مازندران,تنكابن
2,مازندران,رامسر
2,مازندران,ساری
2,مازندران,سوادكوه
2,مازندران,قایم شهر
2,مازندران,جویبار
2,مازندران,فریدونكنار
2,مازندران,عباس آباد
2,مازندران,میاندورود
2,مازندران,سیمرغ
2,مازندران,سوادکوه شمالی
2,مازندران,کلاردشت
3,آذربایجان شرقی,هوراند
3,آذربایجان شرقی,لیلان
3,آذربایجان شرقی,اهر
4,آذربایجان غربی,شاهین دژ
4,آذربایجان غربی,پلدشت
4,آذربایجان غربی,تكاب
5,کرمانشاه,گیلانغرب
5,کرمانشاه,جوانرود
5,کرمانشاه,صحنه
6,خوزستان,دزفول
6,خوزستان,هفتکل
6,خوزستان,هویزه
6,خوزستان,باوی
7,فارس,زرین دشت
7,فارس,قیروکارزین
8,كرمان,شهربابك
8,كرمان,منوجان
10,اصفهان,دهاقان
10,اصفهان,برخوار
10,اصفهان,خور و بیابانک
10,اصفهان,بویین و میاندشت
10,اصفهان,کوهپایه
11,سیستان و بلوچستان,زهک
11,سیستان و بلوچستان,هیرمند
11,سیستان و بلوچستان,بمپور
12,كردستان,دیواندره
12,كردستان,كامیاران
12,كردستان,سروآباد
12,كردستان,دهگلان
17,كهگیلویه و بویراحمد,بویراحمد
17,كهگیلویه و بویراحمد,كهگیلویه
17,كهگیلویه و بویراحمد,گچساران
17,كهگیلویه و بویراحمد,دنا
17,كهگیلویه و بویراحمد,بهمیی
18,بوشهر,بوشهر
18,بوشهر,تنگستان
18,بوشهر,دشتستان
18,بوشهر,دشتی
18,بوشهر,دیر
18,بوشهر,كنگان
18,بوشهر,گناوه
18,بوشهر,دیلم
18,بوشهر,جم
18,بوشهر,عسلویه
20,سمنان,گرمسار
20,سمنان,مهدی شهر
21,یزد,یزد
21,یزد,میبد
22,هرمزگان,حاجی آباد
22,هرمزگان,بستك
22,هرمزگان,خمیر
24,اردبیل,نمین
24,اردبیل,نیر
24,اردبیل,سرعین
24,اردبیل,اصلاندوز
24,اردبیل,انگوت
29,خراسان جنوبی,بشرویه
29,خراسان جنوبی,زیرکوه
3,آذربایجان شرقی,تبریز
3,آذربایجان شرقی,سراب
3,آذربایجان شرقی,مراغه
3,آذربایجان شرقی,مرند
3,آذربایجان شرقی,میانه
3,آذربایجان شرقی,هشترود
3,آذربایجان شرقی,بناب
3,آذربایجان شرقی,بستان آباد
3,آذربایجان شرقی,شبستر
3,آذربایجان شرقی,کلیبر
3,آذربایجان شرقی,هریس
3,آذربایجان شرقی,جلفا
3,آذربایجان شرقی,ملکان
4,آذربایجان غربی,ارومیه
4,آذربایجان غربی,پیرانشهر
4,آذربایجان غربی,خوی
4,آذربایجان غربی,سردشت
4,آذربایجان غربی,سلماس
4,آذربایجان غربی,ماكو
4,آذربایجان غربی,اشنویه
4,آذربایجان غربی,چالدران
4,آذربایجان غربی,چایپاره
4,آذربایجان غربی,شوط
4,آذربایجان غربی,چهاربرج
4,آذربایجان غربی,باروق
4,آذربایجان غربی,میرآباد
5,کرمانشاه,هرسین
5,کرمانشاه,ثلاث باباجانی
6,خوزستان,دشت آزادگان
6,خوزستان,حمیدیه
6,خوزستان,آغاجاری
6,خوزستان,کارون
6,خوزستان,کرخه
6,خوزستان,دزپارت
7,فارس,فیروزآباد
7,فارس,کازرون
7,فارس,مهر
7,فارس,فراشبند
7,فارس,پاسارگاد
7,فارس,خنج
8,كرمان,كرمان
8,كرمان,كوهبنان
8,كرمان,رودبارجنوب
8,كرمان,قلعه گنج
10,اصفهان,اردستان
10,اصفهان,اصفهان
10,اصفهان,خمینی شهر
10,اصفهان,خوانسار
10,اصفهان,سمیرم
10,اصفهان,فریدن
10,اصفهان,فریدونشهر
10,اصفهان,فلاورجان
10,اصفهان,شهرضا
10,اصفهان,کاشان
10,اصفهان,گلپایگان
10,اصفهان,لنجان
10,اصفهان,نایین
10,اصفهان,نجف آباد
10,اصفهان,نطنز
10,اصفهان,شاهین شهرو میمه
10,اصفهان,جرقویه
10,اصفهان,ورزنه
10,اصفهان,هرند
11,سیستان و بلوچستان,دلگان
11,سیستان و بلوچستان,تفتان
12,كردستان,بانه
12,كردستان,بیجار
13,همدان,تویسركان
13,همدان,ملایر
13,همدان,نهاوند
13,همدان,همدان
13,همدان,كبودرآهنگ
13,همدان,اسدآباد
13,همدان,بهار
13,همدان,رزن
13,همدان,فامنین
13,همدان,درگزین
20,سمنان,آرادان
20,سمنان,میامی
21,یزد,ابركوه
21,یزد,اشکذر
22,هرمزگان,پارسیان
22,هرمزگان,سیریك
22,هرمزگان,بشاگرد
22,هرمزگان,بندر عباس
22,هرمزگان,بندر لنگه
22,هرمزگان,قشم
23,تهران,تهران
23,تهران,دماوند
23,تهران,ری
23,تهران,پیشوا
24,اردبیل,اردبیل
24,اردبیل,خلخال
24,اردبیل,بیله سوار
25,قم,قم
25,قم,جعفرآباد
25,قم,کهک
29,خراسان جنوبی,خوسف
5,کرمانشاه,دالاهو
5,کرمانشاه,روانسر
5,کرمانشاه,اسلام آبادغرب
6,خوزستان,رامهرمز
6,خوزستان,شادگان
6,خوزستان,صیدون
6,خوزستان,آبادان
6,خوزستان,اندیمشک
6,خوزستان,اهواز
6,خوزستان,ایذه
6,خوزستان,شوشتر
6,خوزستان,شوش
6,خوزستان,باغ ملک
6,خوزستان,امیدیه
7,فارس,آباده
7,فارس,استهبان
7,فارس,اقلید
7,فارس,جهرم
7,فارس,لارستان
7,فارس,مرودشت
7,فارس,ممسنی
7,فارس,نی ریز
7,فارس,لامرد
7,فارس,خرامه
7,فارس,سروستان
7,فارس,رستم
7,فارس,گراش
7,فارس,کوار
7,فارس,زرقان
7,فارس,بیضا
7,فارس,سرچهان
7,فارس,کوه چنار
7,فارس,خفر
7,فارس,بختگان
7,فارس,اوز
7,فارس,جویم
8,كرمان,رفسنجان
11,سیستان و بلوچستان,ایرانشهر
11,سیستان و بلوچستان,چاه بهار
11,سیستان و بلوچستان,سراوان
11,سیستان و بلوچستان,نیک شهر
11,سیستان و بلوچستان,مهرستان
11,سیستان و بلوچستان,سیب و سوران
11,سیستان و بلوچستان,نیمروز
11,سیستان و بلوچستان,هامون
11,سیستان و بلوچستان,دشتیاری
11,سیستان و بلوچستان,سرباز
11,سیستان و بلوچستان,گلشن
11,سیستان و بلوچستان,لاشار
11,سیستان و بلوچستان,زرآباد
19,زنجان,ابهر
19,زنجان,خدابنده
19,زنجان,زنجان
19,زنجان,ایجرود
19,زنجان,خرمدره
19,زنجان,طارم
19,زنجان,ماهنشان
19,زنجان,سلطانیه
20,سمنان,سرخه
20,سمنان,دامغان
21,یزد,اردكان
21,یزد,بافق
21,یزد,خاتم
21,یزد,بهاباد
21,یزد,مروست
21,یزد,زارچ
23,تهران,شمیرانات
23,تهران,ورامین
23,تهران,شهریار
23,تهران,اسلامشهر
23,تهران,رباط کریم
23,تهران,پاكدشت
23,تهران,فیروزكوه
23,تهران,قدس
23,تهران,ملارد
23,تهران,بهارستان
23,تهران,پردیس
23,تهران,قرچک
26,قزوین,بویین زهرا
26,قزوین,تاكستان
26,قزوین,قزوین
26,قزوین,آبیك
26,قزوین,البرز
26,قزوین,آوج
29,خراسان جنوبی,طبس
5,کرمانشاه,کرمانشاه
5,کرمانشاه,پاوه
6,خوزستان,مسجدسلیمان
6,خوزستان,لالی
6,خوزستان,هندیجان
6,خوزستان,رامشیر
29,خراسان جنوبی,بیرجند
29,خراسان جنوبی,درمیان
29,خراسان جنوبی,سربیشه
29,خراسان جنوبی,قاینات
30,البرز,کرج
30,البرز,ساوجبلاغ
30,البرز,نظرآباد
30,البرز,طالقان
30,البرز,اشتهارد
30,البرز,فردیس
30,البرز,چهارباغ
8,كرمان,زرند
14,چهارمحال و بختیاری,بروجن
14,چهارمحال و بختیاری,کوهرنگ
22,هرمزگان,ابوموسی
8,كرمان,كهنوج
8,كرمان,گنبکی
